"","X.x","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","X.y","Município","idhm_2010"
"161",161,2018,1,"SP","PATRIOTA",3512308,50,"nao eleito","presidente",0.283511000226809,138,"Conchas",0.736
"162",162,2018,1,"SP","PDT",3512407,1132,"nao eleito","presidente",4.26204819277108,139,"Cordeirópolis",0.758
"163",163,2018,1,"SP","PSTU",3512407,3,"nao eleito","presidente",0.0112951807228916,139,"Cordeirópolis",0.758
"164",164,2018,1,"SP","REDE",3512506,10,"nao eleito","presidente",0.168123739071957,140,"Coroados",0.719
"165",165,2018,1,"SP","MDB",3512605,30,"nao eleito","presidente",0.536288880943868,141,"Coronel Macedo",0.69
"166",166,2018,1,"SP","PATRIOTA",3512605,28,"nao eleito","presidente",0.500536288880944,141,"Coronel Macedo",0.69
"167",167,2018,1,"SP","MDB",3512704,28,"nao eleito","presidente",0.61933200619332,142,"Corumbataí",0.754
"168",168,2018,1,"SP","MDB",3512803,373,"nao eleito","presidente",0.606228058769991,143,"Cosmópolis",0.769
"169",169,2018,1,"SP","NOVO",3512803,836,"nao eleito","presidente",1.35873098426733,143,"Cosmópolis",0.769
"170",170,2018,1,"SP","REDE",3512803,259,"nao eleito","presidente",0.420946560915356,143,"Cosmópolis",0.769
"171",171,2018,1,"SP","PODE",3512902,27,"nao eleito","presidente",0.296507797056886,144,"Cosmorama",0.722
"172",172,2018,1,"SP","PSL",3512902,2793,"2º turno","presidente",30.6720843399956,144,"Cosmorama",0.722
"173",173,2018,1,"SP","MDB",3513108,151,"nao eleito","presidente",0.433633909597381,146,"Cravinhos",0.756
"174",174,2018,1,"SP","PATRIOTA",3513207,31,"nao eleito","presidente",0.304399057344855,147,"Cristais Paulista",0.734
"175",175,2018,1,"SP","PSL",3513207,2867,"2º turno","presidente",28.1520031421838,147,"Cristais Paulista",0.734
"176",176,2018,1,"SP","PT",3513207,765,"2º turno","presidente",7.51178318931657,147,"Cristais Paulista",0.734
"177",177,2018,1,"SP","PSDB",3513306,233,"nao eleito","presidente",7.30865746549561,148,"Cruzália",0.774
"178",178,2018,1,"SP","REDE",3513306,9,"nao eleito","presidente",0.282308657465496,148,"Cruzália",0.774
"179",179,2018,1,"SP","PSOL",3513405,200,"nao eleito","presidente",0.246819118608927,149,"Cruzeiro",0.788
"180",180,2018,1,"SP","PSTU",3513405,9,"nao eleito","presidente",0.0111068603374017,149,"Cruzeiro",0.788
"181",181,2018,1,"SP","NOVO",3513504,1583,"nao eleito","presidente",1.20166395919049,150,"Cubatão",0.737
"182",182,2018,1,"SP","PSTU",3513504,38,"nao eleito","presidente",0.0288460078643327,150,"Cubatão",0.737
"183",183,2018,1,"SP","PSOL",3513603,35,"nao eleito","presidente",0.149158320903473,151,"Cunha",0.684
"184",184,2018,1,"SP","PT",3513603,2447,"2º turno","presidente",10.4282974643085,151,"Cunha",0.684
"185",185,2018,1,"SP","DC",3513702,10,"nao eleito","presidente",0.0297238652914425,152,"Descalvado",0.76
"186",186,2018,1,"SP","PODE",3513801,1839,"nao eleito","presidente",0.399323386800831,153,"Diadema",0.757
"187",187,2018,1,"SP","NOVO",3513900,325,"nao eleito","presidente",2.45246000603682,155,"Divinolândia",0.734
"188",188,2018,1,"SP","PSDB",3513900,1029,"nao eleito","presidente",7.76486568065198,155,"Divinolândia",0.734
"189",189,2018,1,"SP","PSOL",3514007,23,"nao eleito","presidente",0.273159144893112,156,"Dobrada",0.718
"190",190,2018,1,"SP","PT",3514007,1314,"2º turno","presidente",15.6057007125891,156,"Dobrada",0.718
"191",191,2018,1,"SP","NOVO",3514205,75,"nao eleito","presidente",2.46791707798618,158,"Dolcinópolis",0.742
"192",192,2018,1,"SP","PODE",3514304,26,"nao eleito","presidente",0.280172413793103,159,"Dourado",0.738
"193",193,2018,1,"SP","REDE",3514304,26,"nao eleito","presidente",0.280172413793103,159,"Dourado",0.738
"194",194,2018,1,"SP","PATRIOTA",3514502,72,"nao eleito","presidente",0.517762117071768,161,"Duartina",0.748
"195",195,2018,1,"SP","PSL",3514502,4078,"2º turno","presidente",29.3254710197037,161,"Duartina",0.748
"196",196,2018,1,"SP","MDB",3514700,73,"nao eleito","presidente",1.02283872775676,163,"Echaporã",0.745
"197",197,2018,1,"SP","PPL",3514700,3,"nao eleito","presidente",0.0420344682639765,163,"Echaporã",0.745
"198",198,2018,1,"SP","REDE",3514809,27,"nao eleito","presidente",0.184817578205216,164,"Eldorado",0.691
"199",199,2018,1,"SP","NOVO",3514957,39,"nao eleito","presidente",1.16522258739169,167,"Embaúba",0.73
"200",200,2018,1,"SP","PPL",3515004,39,"nao eleito","presidente",0.0152274155952162,168,"Embu das Artes",0.735
"201",201,2018,1,"SP","PSL",3515004,52864,"2º turno","presidente",20.6405666160388,168,"Embu das Artes",0.735
"202",202,2018,1,"SP","PDT",3515103,3565,"nao eleito","presidente",5.18372035537202,169,"Embu-Guaçu",0.749
"203",203,2018,1,"SP","PODE",3515103,301,"nao eleito","presidente",0.43767176072005,169,"Embu-Guaçu",0.749
"204",204,2018,1,"SP","PSDB",3515129,133,"nao eleito","presidente",3.55710082909869,170,"Emilianópolis",0.727
"205",205,2018,1,"SP","PODE",3515152,40,"nao eleito","presidente",0.199232953130448,171,"Engenheiro Coelho",0.732
"206",206,2018,1,"SP","DC",3515186,13,"nao eleito","presidente",0.0296127562642369,172,"Espírito Santo do Pinhal",0.787
"207",207,2018,1,"SP","PPL",3515186,5,"nao eleito","presidente",0.0113895216400911,172,"Espírito Santo do Pinhal",0.787
"208",208,2018,1,"SP","MDB",3515194,28,"nao eleito","presidente",0.630488628687233,173,"Espírito Santo do Turvo",0.696
"209",209,2018,1,"SP","PDT",3515194,110,"nao eleito","presidente",2.47691961269984,173,"Espírito Santo do Turvo",0.696
"210",210,2018,1,"SP","PSL",3515202,2856,"2º turno","presidente",30.126582278481,174,"Estrela d'Oeste",0.76
"211",211,2018,1,"SP","PSOL",3515202,6,"nao eleito","presidente",0.0632911392405063,174,"Estrela d'Oeste",0.76
"212",212,2018,1,"SP","PPL",3515301,0,"nao eleito","presidente",0,175,"Estrela do Norte",0.74
"213",213,2018,1,"SP","DC",3515400,1,"nao eleito","presidente",0.00567375886524823,177,"Fartura",0.732
"214",214,2018,1,"SP","PSL",3515400,4319,"2º turno","presidente",24.5049645390071,177,"Fartura",0.732
"215",215,2018,1,"SP","DC",3515657,0,"nao eleito","presidente",0,180,"Fernão",0.703
"216",216,2018,1,"SP","PPL",3515657,1,"nao eleito","presidente",0.0471031559114461,180,"Fernão",0.703
"217",217,2018,1,"SP","PSTU",3515657,0,"nao eleito","presidente",0,180,"Fernão",0.703
"218",218,2018,1,"SP","NOVO",3515905,51,"nao eleito","presidente",1.40650854936569,183,"Floreal",0.747
"219",219,2018,1,"SP","PSDB",3515905,418,"nao eleito","presidente",11.5278543849972,183,"Floreal",0.747
"220",220,2018,1,"SP","PT",3515905,307,"2º turno","presidente",8.46662989520132,183,"Floreal",0.747
"221",221,2018,1,"SP","PODE",3516002,29,"nao eleito","presidente",0.259159964253798,184,"Flórida Paulista",0.715
"222",222,2018,1,"SP","PPL",3516101,0,"nao eleito","presidente",0,185,"Florínia",0.713
"223",223,2018,1,"SP","REDE",3516101,12,"nao eleito","presidente",0.328407224958949,185,"Florínia",0.713
"224",224,2018,1,"SP","PSDB",3516200,16695,"nao eleito","presidente",4.86439710030069,186,"Franca",0.78
"225",225,2018,1,"SP","PSL",3516200,106547,"2º turno","presidente",31.0444395235542,186,"Franca",0.78
"226",226,2018,1,"SP","PSTU",3516200,54,"nao eleito","presidente",0.0157338989767138,186,"Franca",0.78
"227",227,2018,1,"SP","DC",3516309,61,"nao eleito","presidente",0.0376680395946672,187,"Francisco Morato",0.703
