"","Cod IBGE","Município","idhm_2010"
"357",3531902,"Morro Agudo",0.712
"358",3532009,"Morungaba",0.715
"359",3532058,"Motuca",0.741
"360",3532108,"Murutinga do Sul",0.726
"361",3532157,"Nantes",0.714
"362",3532207,"Narandiba",0.718
"363",3532306,"Natividade da Serra",0.655
"364",3532405,"Nazaré Paulista",0.678
"365",3532504,"Neves Paulista",0.754
"366",3532603,"Nhandeara",0.751
"367",3532702,"Nipoã",0.713
"368",3532801,"Nova Aliança",0.738
"369",3532827,"Nova Campina",0.651
"370",3532843,"Nova Canaã Paulista",0.715
"371",3532868,"Nova Castilho",0.756
"372",3532900,"Nova Europa",0.765
"373",3533007,"Nova Granada",0.739
"374",3533106,"Nova Guataporanga",0.726
"375",3533205,"Nova Independência",0.735
"376",3533254,"Novais",0.719
"377",3533304,"Nova Luzitânia",0.743
"378",3533403,"Nova Odessa",0.791
"379",3533502,"Novo Horizonte",0.753
"380",3533601,"Nuporanga",0.746
"381",3533700,"Ocauçu",0.717
"382",3533809,"Óleo",0.73
"383",3533908,"Olímpia",0.773
"384",3534005,"Onda Verde",0.738
"385",3534104,"Oriente",0.77
"386",3534203,"Orindiúva",0.767
"387",3534302,"Orlândia",0.78
"388",3534401,"Osasco",0.776
"389",3534500,"Oscar Bressane",0.749
"390",3534609,"Osvaldo Cruz",0.762
"391",3534708,"Ourinhos",0.778
"392",3534757,"Ouroeste",0.77
"393",3534807,"Ouro Verde",0.692
"394",3534906,"Pacaembu",0.725
"395",3535002,"Palestina",0.732
"396",3535101,"Palmares Paulista",0.722
"397",3535200,"Palmeira d'Oeste",0.753
"398",3535309,"Palmital",0.746
"399",3535408,"Panorama",0.722
"400",3535507,"Paraguaçu Paulista",0.762
"401",3535606,"Paraibuna",0.719
"402",3535705,"Paraíso",0.749
"403",3535804,"Paranapanema",0.717
"404",3535903,"Paranapuã",0.732
"405",3536000,"Parapuã",0.737
"406",3536109,"Pardinho",0.727
"407",3536208,"Pariquera-Açu",0.736
"408",3536257,"Parisi",0.721
"409",3536307,"Patrocínio Paulista",0.73
"410",3536406,"Paulicéia",0.711
"411",3536505,"Paulínia",0.795
"412",3536570,"Paulistânia",0.718
"413",3536604,"Paulo de Faria",0.725
"414",3536703,"Pederneiras",0.739
"415",3536802,"Pedra Bela",0.677
"416",3536901,"Pedranópolis",0.742
"417",3537008,"Pedregulho",0.715
"418",3537107,"Pedreira",0.769
"419",3537156,"Pedrinhas Paulista",0.774
"420",3537206,"Pedro de Toledo",0.696
"421",3537305,"Penápolis",0.759
"422",3537404,"Pereira Barreto",0.766
"423",3537503,"Pereiras",0.736
"424",3537602,"Peruíbe",0.749
"425",3537701,"Piacatu",0.732
"426",3537800,"Piedade",0.716
"427",3537909,"Pilar do Sul",0.69
"428",3538006,"Pindamonhangaba",0.773
"429",3538105,"Pindorama",0.737
"430",3538204,"Pinhalzinho",0.725
"431",3538303,"Piquerobi",0.711
"432",3538501,"Piquete",0.757
