"","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","Município","idhm_2010"
"4138",2018,1,"SP","PSOL",3523008,4,"nao eleito","presidente",0.0833506980620963,"Itapura",0.72
"4139",2018,1,"SP","PSTU",3523008,1,"nao eleito","presidente",0.0208376745155241,"Itapura",0.72
"4140",2018,1,"SP","MDB",3523107,2409,"nao eleito","presidente",0.765386362842065,"Itaquaquecetuba",0.714
"4141",2018,1,"SP","PDT",3523107,18937,"nao eleito","presidente",6.01665485809057,"Itaquaquecetuba",0.714
"4142",2018,1,"SP","PODE",3523107,1270,"nao eleito","presidente",0.403503811045837,"Itaquaquecetuba",0.714
"4143",2018,1,"SP","PSTU",3523107,80,"nao eleito","presidente",0.0254175629005252,"Itaquaquecetuba",0.714
"4144",2018,1,"SP","PT",3523206,2913,"2º turno","presidente",6.15387865472368,"Itararé",0.703
"4145",2018,1,"SP","REDE",3523305,44,"nao eleito","presidente",0.378853108317548,"Itariri",0.677
"4146",2018,1,"SP","PSL",3523404,35782,"2º turno","presidente",31.5129417774138,"Itatiba",0.778
"4147",2018,1,"SP","PSTU",3523404,18,"nao eleito","presidente",0.0158524663795609,"Itatiba",0.778
"4148",2018,1,"SP","PT",3523503,1137,"2º turno","presidente",5.98295095769312,"Itatinga",0.706
"4149",2018,1,"SP","REDE",3523503,57,"nao eleito","presidente",0.299936855398863,"Itatinga",0.706
"4150",2018,1,"SP","MDB",3523602,87,"nao eleito","presidente",0.644635447540012,"Itirapina",0.724
"4151",2018,1,"SP","NOVO",3523602,133,"nao eleito","presidente",0.985477178423236,"Itirapina",0.724
"4152",2018,1,"SP","PSOL",3523602,19,"nao eleito","presidente",0.140782454060462,"Itirapina",0.724
"4153",2018,1,"SP","PSTU",3523701,0,"nao eleito","presidente",0,"Itirapuã",0.707
"4154",2018,1,"SP","PODE",3523909,725,"nao eleito","presidente",0.427683195884803,"Itu",0.773
"4155",2018,1,"SP","PT",3523909,9396,"2º turno","presidente",5.54277421866704,"Itu",0.773
"4156",2018,1,"SP","PODE",3500105,116,"nao eleito","presidente",0.313259519308669,"Adamantina",0.79
"4157",2018,1,"SP","PSTU",3500105,5,"nao eleito","presidente",0.0135025654874426,"Adamantina",0.79
"4158",2018,1,"SP","PT",3500204,443,"2º turno","presidente",8.12098991750687,"Adolfo",0.73
"4159",2018,1,"SP","DC",3500303,9,"nao eleito","presidente",0.0292654375182909,"Aguaí",0.715
"4160",2018,1,"SP","MDB",3500303,215,"nao eleito","presidente",0.699118785159171,"Aguaí",0.715
"4161",2018,1,"SP","PPL",3500303,2,"nao eleito","presidente",0.0065034305596202,"Aguaí",0.715
"4162",2018,1,"SP","MDB",3500402,38,"nao eleito","presidente",0.44522554188635,"Águas da Prata",0.781
"4163",2018,1,"SP","PSL",3500402,2562,"2º turno","presidente",30.0175746924429,"Águas da Prata",0.781
"4164",2018,1,"SP","PATRIOTA",3500501,37,"nao eleito","presidente",0.183933187512428,"Águas de Lindóia",0.745
"4165",2018,1,"SP","PSL",3500501,7014,"2º turno","presidente",34.8677669516803,"Águas de Lindóia",0.745
"4166",2018,1,"SP","PSOL",3500501,25,"nao eleito","presidente",0.12427918075164,"Águas de Lindóia",0.745
"4167",2018,1,"SP","PODE",3500550,33,"nao eleito","presidente",0.492170022371365,"Águas de Santa Bárbara",0.757
"4168",2018,1,"SP","PSDB",3500600,249,"nao eleito","presidente",4.60684551341351,"Águas de São Pedro",0.854
"4169",2018,1,"SP","PSL",3500709,13281,"2º turno","presidente",32.5474819262345,"Agudos",0.745
"4170",2018,1,"SP","DC",3500758,1,"nao eleito","presidente",0.0154249575813667,"Alambari",0.712
"4171",2018,1,"SP","PDT",3500758,158,"nao eleito","presidente",2.43714329785593,"Alambari",0.712
"4172",2018,1,"SP","PSL",3500808,1599,"2º turno","presidente",29.0199637023593,"Alfredo Marcondes",0.741
"4173",2018,1,"SP","PPL",3500907,0,"nao eleito","presidente",0,"Altair",0.687
"4174",2018,1,"SP","PSOL",3500907,3,"nao eleito","presidente",0.0704721634954193,"Altair",0.687
"4175",2018,1,"SP","REDE",3500907,3,"nao eleito","presidente",0.0704721634954193,"Altair",0.687
"4176",2018,1,"SP","PATRIOTA",3524105,137,"nao eleito","presidente",0.36020402797497,"Ituverava",0.765
"4177",2018,1,"SP","PSL",3524105,11370,"2º turno","presidente",29.8943050954409,"Ituverava",0.765
"4178",2018,1,"SP","PSOL",3524105,44,"nao eleito","presidente",0.115685965189041,"Ituverava",0.765
"4179",2018,1,"SP","NOVO",3524204,101,"nao eleito","presidente",1.46887725421757,"Jaborandi",0.711
"4180",2018,1,"SP","NOVO",3524501,175,"nao eleito","presidente",2.31389660187756,"Jaci",0.723
"4181",2018,1,"SP","PATRIOTA",3524501,26,"nao eleito","presidente",0.343778923707523,"Jaci",0.723
"4182",2018,1,"SP","NOVO",3524709,1398,"nao eleito","presidente",2.50829819682426,"Jaguariúna",0.784
"4183",2018,1,"SP","PPL",3524808,3,"nao eleito","presidente",0.00585605809209627,"Jales",0.776
"4184",2018,1,"SP","PT",3524808,3021,"2º turno","presidente",5.89705049874095,"Jales",0.776
"4185",2018,1,"SP","NOVO",3524907,154,"nao eleito","presidente",2.17883418222977,"Jambeiro",0.756
"4186",2018,1,"SP","PODE",3524907,21,"nao eleito","presidente",0.297113752122241,"Jambeiro",0.756
"4187",2018,1,"SP","PSOL",3524907,8,"nao eleito","presidente",0.113186191284663,"Jambeiro",0.756
"4188",2018,1,"SP","PSL",3525003,25499,"2º turno","presidente",23.375135214418,"Jandira",0.76
"4189",2018,1,"SP","MDB",3525102,245,"nao eleito","presidente",0.674912536844715,"Jardinópolis",0.735
"4190",2018,1,"SP","NOVO",3525102,567,"nao eleito","presidente",1.56194044241205,"Jardinópolis",0.735
"4191",2018,1,"SP","PSOL",3525201,60,"nao eleito","presidente",0.19780437147661,"Jarinu",0.733
"4192",2018,1,"SP","PPL",3525300,10,"nao eleito","presidente",0.00702232396789393,"Jaú",0.778
"4193",2018,1,"SP","PSTU",3525300,37,"nao eleito","presidente",0.0259825986812076,"Jaú",0.778
"4194",2018,1,"SP","NOVO",3525508,136,"nao eleito","presidente",1.05721393034826,"Joanópolis",0.699
"4195",2018,1,"SP","PDT",3525607,148,"nao eleito","presidente",3.15228966986155,"João Ramalho",0.741
"4196",2018,1,"SP","PSTU",3525607,0,"nao eleito","presidente",0,"João Ramalho",0.741
"4197",2018,1,"SP","PDT",3525706,1610,"nao eleito","presidente",4.46775446775447,"José Bonifácio",0.777
"4198",2018,1,"SP","PSDB",3525706,1846,"nao eleito","presidente",5.12265512265512,"José Bonifácio",0.777
"4199",2018,1,"SP","PT",3525805,775,"2º turno","presidente",15.3374233128834,"Júlio Mesquita",0.716
"4200",2018,1,"SP","MDB",3525854,8,"nao eleito","presidente",0.245173153539687,"Jumirim",0.741
"4201",2018,1,"SP","PATRIOTA",3525904,1506,"nao eleito","presidente",0.333227862805708,"Jundiaí",0.822
"4202",2018,1,"SP","PPL",3525904,49,"nao eleito","presidente",0.01084207521745,"Jundiaí",0.822
"4203",2018,1,"SP","PSOL",3526001,16,"nao eleito","presidente",0.0808203263120675,"Junqueirópolis",0.745
"4204",2018,1,"SP","REDE",3526001,57,"nao eleito","presidente",0.28792241248674,"Junqueirópolis",0.745
"4205",2018,1,"SP","DC",3526100,10,"nao eleito","presidente",0.0516368893937829,"Juquiá",0.7
"4206",2018,1,"SP","NOVO",3526100,102,"nao eleito","presidente",0.526696271816586,"Juquiá",0.7
"4207",2018,1,"SP","NOVO",3526209,324,"nao eleito","presidente",1.08611846736616,"Juquitiba",0.709
"4208",2018,1,"SP","PSOL",3526209,138,"nao eleito","presidente",0.46260601387818,"Juquitiba",0.709
"4209",2018,1,"SP","PATRIOTA",3526308,4,"nao eleito","presidente",0.0558581203742494,"Lagoinha",0.693
"4210",2018,1,"SP","PODE",3526407,89,"nao eleito","presidente",0.303723168276286,"Laranjal Paulista",0.729
"4211",2018,1,"SP","PSL",3526605,2075,"2º turno","presidente",24.305962281832,"Lavrinhas",0.729
"4212",2018,1,"SP","MDB",3526704,619,"nao eleito","presidente",0.616908679576237,"Leme",0.744
"4213",2018,1,"SP","NOVO",3526803,1340,"nao eleito","presidente",1.88345093188654,"Lençóis Paulista",0.764
"4214",2018,1,"SP","PSDB",3526803,3887,"nao eleito","presidente",5.46341326286791,"Lençóis Paulista",0.764
"4215",2018,1,"SP","MDB",3527009,26,"nao eleito","presidente",0.319175055241836,"Lindóia",0.742
"4216",2018,1,"SP","PDT",3527009,267,"nao eleito","presidente",3.2776822980604,"Lindóia",0.742
"4217",2018,1,"SP","PATRIOTA",3527108,294,"nao eleito","presidente",0.381258672337997,"Lins",0.786
"4218",2018,1,"SP","PPL",3527108,12,"nao eleito","presidente",0.0155615784627754,"Lins",0.786
"4219",2018,1,"SP","PSDB",3527108,4118,"nao eleito","presidente",5.34021500914243,"Lins",0.786
"4220",2018,1,"SP","PSTU",3527108,10,"nao eleito","presidente",0.0129679820523128,"Lins",0.786
"4221",2018,1,"SP","PSDB",3527306,1945,"nao eleito","presidente",3.92042247843264,"Louveira",0.777
"4222",2018,1,"SP","REDE",3527306,228,"nao eleito","presidente",0.459566233975651,"Louveira",0.777
"4223",2018,1,"SP","PSTU",3527405,5,"nao eleito","presidente",0.0273089737287673,"Lucélia",0.752
"4224",2018,1,"SP","PT",3527405,1211,"2º turno","presidente",6.61423343710743,"Lucélia",0.752
"4225",2018,1,"SP","REDE",3527405,51,"nao eleito","presidente",0.278551532033426,"Lucélia",0.752
"4226",2018,1,"SP","PDT",3527504,98,"nao eleito","presidente",3.40277777777778,"Lucianópolis",0.733
"4227",2018,1,"SP","MDB",3527603,71,"nao eleito","presidente",0.572765408196192,"Luís Antônio",0.731
"4228",2018,1,"SP","PDT",3527603,510,"nao eleito","presidente",4.11423039690223,"Luís Antônio",0.731
"4229",2018,1,"SP","PODE",3527603,29,"nao eleito","presidente",0.233946434333656,"Luís Antônio",0.731
"4230",2018,1,"SP","PSTU",3527603,3,"nao eleito","presidente",0.0242013552758954,"Luís Antônio",0.731
"4231",2018,1,"SP","DC",3527702,1,"nao eleito","presidente",0.0186219739292365,"Luiziânia",0.702
"4232",2018,1,"SP","MDB",3527702,57,"nao eleito","presidente",1.06145251396648,"Luiziânia",0.702
"4233",2018,1,"SP","NOVO",3527702,41,"nao eleito","presidente",0.763500931098696,"Luiziânia",0.702
"4234",2018,1,"SP","MDB",3527801,39,"nao eleito","presidente",0.839431769263883,"Lupércio",0.724
"4235",2018,1,"SP","PPL",3528007,1,"nao eleito","presidente",0.00540394487976223,"Macatuba",0.77
"4236",2018,1,"SP","PSDB",3528007,1012,"nao eleito","presidente",5.46879221831937,"Macatuba",0.77
"4237",2018,1,"SP","DC",3528106,2,"nao eleito","presidente",0.0246396451891093,"Macaubal",0.743
"4238",2018,1,"SP","MDB",3528106,28,"nao eleito","presidente",0.34495503264753,"Macaubal",0.743
"4239",2018,1,"SP","PSOL",3528106,12,"nao eleito","presidente",0.147837871134656,"Macaubal",0.743
"4240",2018,1,"SP","PSOL",3528304,6,"nao eleito","presidente",0.156494522691706,"Magda",0.753
"4241",2018,1,"SP","PATRIOTA",3528403,243,"nao eleito","presidente",0.482353408233753,"Mairinque",0.743
"4242",2018,1,"SP","MDB",3528502,620,"nao eleito","presidente",0.740519558077038,"Mairiporã",0.788
"4243",2018,1,"SP","PT",3528601,635,"2º turno","presidente",6.34175571756716,"Manduri",0.739
"4244",2018,1,"SP","REDE",3528601,30,"nao eleito","presidente",0.299610506341756,"Manduri",0.739
"4245",2018,1,"SP","PODE",3528700,13,"nao eleito","presidente",0.309229305423406,"Marabá Paulista",0.677
"4246",2018,1,"SP","PSTU",3528700,0,"nao eleito","presidente",0,"Marabá Paulista",0.677
"4247",2018,1,"SP","PSTU",3528809,3,"nao eleito","presidente",0.019411193788418,"Maracaí",0.771
"4248",2018,1,"SP","PT",3528809,1358,"2º turno","presidente",8.78680038822388,"Maracaí",0.771
"4249",2018,1,"SP","MDB",3528908,14,"nao eleito","presidente",0.335490055116223,"Mariápolis",0.718
"4250",2018,1,"SP","PSDB",3528908,296,"nao eleito","presidente",7.09321830817158,"Mariápolis",0.718
"4251",2018,1,"SP","PSOL",3528908,5,"nao eleito","presidente",0.119817876827223,"Mariápolis",0.718
"4252",2018,1,"SP","PT",3528908,565,"2º turno","presidente",13.5394200814762,"Mariápolis",0.718
"4253",2018,1,"SP","PATRIOTA",3529104,11,"nao eleito","presidente",0.4296875,"Marinópolis",0.731
"4254",2018,1,"SP","PSL",3529104,584,"2º turno","presidente",22.8125,"Marinópolis",0.731
"4255",2018,1,"SP","DC",3529203,0,"nao eleito","presidente",0,"Martinópolis",0.721
"4256",2018,1,"SP","DC",3529302,17,"nao eleito","presidente",0.0195079408794639,"Matão",0.773
"4257",2018,1,"SP","PSL",3529302,24195,"2º turno","presidente",27.7643899752134,"Matão",0.773
"4258",2018,1,"SP","MDB",3529401,2477,"nao eleito","presidente",0.589453143591452,"Mauá",0.766
"4259",2018,1,"SP","PSL",3529401,103372,"2º turno","presidente",24.5994955023559,"Mauá",0.766
"4260",2018,1,"SP","DC",3529500,1,"nao eleito","presidente",0.0161629222563439,"Mendonça",0.744
"4261",2018,1,"SP","MDB",3529609,19,"nao eleito","presidente",0.404341349223239,"Meridiano",0.731
"4262",2018,1,"SP","PSDB",3529609,320,"nao eleito","presidente",6.80995956586508,"Meridiano",0.731
"4263",2018,1,"SP","PATRIOTA",3529708,51,"nao eleito","presidente",0.261874197689345,"Miguelópolis",0.741
"4264",2018,1,"SP","MDB",3529807,99,"nao eleito","presidente",0.789410732796428,"Mineiros do Tietê",0.73
"4265",2018,1,"SP","PATRIOTA",3529807,87,"nao eleito","presidente",0.693724583366558,"Mineiros do Tietê",0.73
"4266",2018,1,"SP","DC",3530003,0,"nao eleito","presidente",0,"Mira Estrela",0.743
"4267",2018,1,"SP","PDT",3530102,737,"nao eleito","presidente",2.88386288934105,"Mirandópolis",0.751
"4268",2018,1,"SP","PT",3530102,1587,"2º turno","presidente",6.20989200187823,"Mirandópolis",0.751
"4269",2018,1,"SP","PODE",3530201,87,"nao eleito","presidente",0.499598024577926,"Mirante do Paranapanema",0.724
"4270",2018,1,"SP","PODE",3530300,252,"nao eleito","presidente",0.433832010604782,"Mirassol",0.762
"4271",2018,1,"SP","PDT",3530409,118,"nao eleito","presidente",2.33802258767585,"Mirassolândia",0.738
"4272",2018,1,"SP","PPL",3530409,0,"nao eleito","presidente",0,"Mirassolândia",0.738
"4273",2018,1,"SP","PSDB",3530409,543,"nao eleito","presidente",10.7588666534575,"Mirassolândia",0.738
"4274",2018,1,"SP","MDB",3530508,411,"nao eleito","presidente",0.62541846734433,"Mococa",0.762
"4275",2018,1,"SP","PODE",3530607,1396,"nao eleito","presidente",0.324124272403697,"Mogi das Cruzes",0.783
"4276",2018,1,"SP","PSOL",3530805,171,"nao eleito","presidente",0.181621208258985,"Moji Mirim",0.784
"4277",2018,1,"SP","PT",3530805,3359,"2º turno","presidente",3.56763531311071,"Moji Mirim",0.784
"4278",2018,1,"SP","REDE",3530805,341,"nao eleito","presidente",0.362180304188971,"Moji Mirim",0.784
"4279",2018,1,"SP","PSOL",3531100,154,"nao eleito","presidente",0.281350482315113,"Mongaguá",0.754
"4280",2018,1,"SP","PPL",3531209,1,"nao eleito","presidente",0.0116590882592981,"Monte Alegre do Sul",0.759
"4281",2018,1,"SP","PT",3531209,320,"2º turno","presidente",3.7309082429754,"Monte Alegre do Sul",0.759
"4282",2018,1,"SP","REDE",3531308,115,"nao eleito","presidente",0.23171001994721,"Monte Alto",0.768
"4283",2018,1,"SP","MDB",3531506,165,"nao eleito","presidente",0.833628050320821,"Monte Azul Paulista",0.753
"4284",2018,1,"SP","PDT",3531605,144,"nao eleito","presidente",2.95930949445129,"Monte Castelo",0.741
"4285",2018,1,"SP","DC",3531704,3,"nao eleito","presidente",0.0578592092574735,"Monteiro Lobato",0.71
"4286",2018,1,"SP","PPL",3531704,0,"nao eleito","presidente",0,"Monteiro Lobato",0.71
"4287",2018,1,"SP","PSL",3531704,1307,"2º turno","presidente",25.2073288331726,"Monteiro Lobato",0.71
